student_id,supervisor_id,institution,area,sent_at,outcome
106419,A5031856973,UNSW,PTSD,2026-07-12,ADMIT
106419,A5055000569,UNSW,PTSD,2026-07-12,REJECT
106419,A5089892421,Ohio State,Pilgrim,2026-07-12,NO_REPLY
106419,A5012340001,Harvard University,PTSD,2026-07-12,INTERVIEW
106419,A5012340002,Boston University,PTSD,2026-07-13,POSITIVE_REPLY
106419,A5012340003,Durham VA Health Care System,PTSD,2026-07-13,NOT_RECRUITING
106419,A5012340004,University of Melbourne,Pilgrim,2026-07-13,WRONG_PERSON
106419,A5012340005,National Bureau of Economic Research,Pilgrim,2026-07-13,WRONG_PERSON
106419,A5012340006,University of Sydney,Disaster,2026-07-14,BOUNCE
106419,A5012340007,Monash University,Disaster,2026-07-14,OUT_OF_OFFICE
106419,A5012340008,Stanford University,PTSD,2026-07-14,ADMIT
106419,A5012340009,University of Queensland,Disaster,2026-07-15,POSITIVE_REPLY
106419,A5012340010,Ohio State,Pilgrim,2026-07-15,NO_REPLY
